time,knowing,avg_belief
90.0,0.976,0.658067899189015
91.0,0.977,0.6576664220367872
92.0,0.978,0.6575100471290372
93.0,0.979,0.6575979284387964
94.0,0.98,0.6579094096738035
95.0,0.98,0.6583426394402087
96.0,0.982,0.6583004055399366
97.0,0.984,0.6582103302251922
98.0,0.986,0.6585348002018473
99.0,0.986,0.6583543842128572
100.0,0.987,0.658267594190576
101.0,0.987,0.6577938409271692
102.0,0.988,0.6578644447637235
103.0,0.988,0.6580173768269435
104.0,0.989,0.6579525665791272
105.0,0.989,0.6582526186847591
106.0,0.99,0.658054292920351
107.0,0.99,0.6580727665372944
108.0,0.99,0.658092422077883
109.0,0.992,0.6579054579496144
110.0,0.994,0.6579839539955817
111.0,0.995,0.657912636204961
112.0,0.996,0.6579349880403155
113.0,0.996,0.6580978175713426
114.0,0.997,0.6581124942521518
115.0,0.998,0.6580514870972716
116.0,0.998,0.657902237963237
117.0,0.999,0.6578693491749663
118.0,0.999,0.6578916298660524
119.0,0.999,0.6575573271835031
120.0,0.999,0.6574545225106607
121.0,0.999,0.6573053516342843
122.0,0.999,0.6572442897875979
123.0,0.999,0.6575340902160534
124.0,0.999,0.6573655415663342
125.0,0.999,0.6571256223326274
126.0,0.999,0.6569637800027237
127.0,0.999,0.6573245303653584
128.0,0.999,0.6574124344525597
129.0,0.999,0.6572339405019303
130.0,0.999,0.6572242176172832
131.0,0.999,0.6570889462337015
132.0,0.999,0.6569614588128803
133.0,1.0,0.6568129428266731
134.0,1.0,0.6570125937816232
135.0,1.0,0.6569293461825081
136.0,1.0,0.6568067062412439
137.0,1.0,0.6569553064687113
138.0,1.0,0.6571193067529647
139.0,1.0,0.6570872592928637
140.0,1.0,0.6569260394715178
141.0,1.0,0.656946625339842
142.0,1.0,0.6569126784629706
143.0,1.0,0.656825010472793
144.0,1.0,0.6567796138835628
145.0,1.0,0.6568227653589147
146.0,1.0,0.6567359752136592
147.0,1.0,0.6566658130370032
148.0,1.0,0.656684980602914
149.0,1.0,0.6567584433669431
150.0,1.0,0.6566166563535957
151.0,1.0,0.6567328292771436
152.0,1.0,0.6567898748137361
153.0,1.0,0.656776514015344
154.0,1.0,0.6567119267186181
155.0,1.0,0.6567094120939351
156.0,1.0,0.6565598173820292
157.0,1.0,0.656408471198655
158.0,1.0,0.656508536465799
159.0,1.0,0.6565076833838982
160.0,1.0,0.6565274151361467
161.0,1.0,0.6564653470203429
162.0,1.0,0.6565029955179953
163.0,1.0,0.6565631506310519
164.0,1.0,0.656616152062968
165.0,1.0,0.6565643328759229
166.0,1.0,0.656533459514751
167.0,1.0,0.6565893702371233
168.0,1.0,0.6565962667076909
169.0,1.0,0.6566337005996821
170.0,1.0,0.6565220621405536
171.0,1.0,0.656562911220112
172.0,1.0,0.6565984665303499
173.0,1.0,0.6566146197691802
174.0,1.0,0.6566164384071599
175.0,1.0,0.656658487198431
176.0,1.0,0.6567540126476157
177.0,1.0,0.65675306846084
178.0,1.0,0.6567478924623215
179.0,1.0,0.6567087239515784
180.0,1.0,0.6566953420418229
181.0,1.0,0.656631010425274
182.0,1.0,0.6566285699596311
183.0,1.0,0.656650521324125
184.0,1.0,0.6566855641779386
185.0,1.0,0.6566660165011167
186.0,1.0,0.6567012767340205
187.0,1.0,0.6566549050861948
188.0,1.0,0.6567531476923516
189.0,1.0,0.6567841548763582
190.0,1.0,0.6567756386936007
191.0,1.0,0.6568251950037494
192.0,1.0,0.656782526544586
193.0,1.0,0.6568191627421982
194.0,1.0,0.6567718506996649
195.0,1.0,0.6567697974335817
196.0,1.0,0.6567734877248079
197.0,1.0,0.6567603435122856
198.0,1.0,0.6567139573095361
199.0,1.0,0.6567030787933598
200.0,1.0,0.6566938127326412
201.0,1.0,0.6566992763550359
202.0,1.0,0.6566816950597232
203.0,1.0,0.6567023002255359
204.0,1.0,0.6567739919178108
205.0,1.0,0.656811915801775
206.0,1.0,0.6568340158667868
207.0,1.0,0.656864233797937
208.0,1.0,0.6568641696766272
209.0,1.0,0.6568125427284363
210.0,1.0,0.6568463734127961
211.0,1.0,0.6568244320720479
212.0,1.0,0.6568135508301508
213.0,1.0,0.6568357120923349
214.0,1.0,0.6568203042402664
215.0,1.0,0.656830225943271
216.0,1.0,0.6568247295832923
217.0,1.0,0.6568407405027287
218.0,1.0,0.6568459311757351
219.0,1.0,0.6568532868476437
220.0,1.0,0.6568588661911182
221.0,1.0,0.6568591044685834
222.0,1.0,0.656864862840515
223.0,1.0,0.6568810527688504
224.0,1.0,0.6568920302046931
225.0,1.0,0.6568845440640467
226.0,1.0,0.6568975558131009
227.0,1.0,0.6568560948623778
228.0,1.0,0.6568549875111229
229.0,1.0,0.6568770937919199
230.0,1.0,0.6568766237492563
231.0,1.0,0.6568769110110763
232.0,1.0,0.6568885311960369
233.0,1.0,0.6569011508544288
234.0,1.0,0.6569197359413885
235.0,1.0,0.6569463802081786
236.0,1.0,0.656956029406289
237.0,1.0,0.6569499037813713
238.0,1.0,0.6569502304941905
239.0,1.0,0.6569726731905025
240.0,1.0,0.6569874908776105
241.0,1.0,0.6569284651073761
242.0,1.0,0.6569290767062106
243.0,1.0,0.6569275789132485
244.0,1.0,0.6569099278758262
245.0,1.0,0.6569102089582698
246.0,1.0,0.6569096443663074
247.0,1.0,0.6569201519911739
248.0,1.0,0.6569091125236654
249.0,1.0,0.6569112203213561
250.0,1.0,0.6569306939290506
251.0,1.0,0.6569331802789843
252.0,1.0,0.6569324527800252
253.0,1.0,0.6569114059401013
254.0,1.0,0.6569033251898946
255.0,1.0,0.6569146200206599
256.0,1.0,0.6569213306373808
257.0,1.0,0.6569098104148607
258.0,1.0,0.656907718950645
259.0,1.0,0.6569007679941765
260.0,1.0,0.6569022841971892
261.0,1.0,0.6569000583193254
262.0,1.0,0.6568955720688172
263.0,1.0,0.6568928939641331
264.0,1.0,0.6569007873582341
265.0,1.0,0.6568931621443236
266.0,1.0,0.6568998909570092
267.0,1.0,0.656894732819058
268.0,1.0,0.656894333262844
269.0,1.0,0.6569018143377415
270.0,1.0,0.656900800201959
271.0,1.0,0.6568993738861038
272.0,1.0,0.6569153042801776
273.0,1.0,0.65690740403374
274.0,1.0,0.6569094549254383
275.0,1.0,0.6569124254380615
276.0,1.0,0.6569222923134597
277.0,1.0,0.656910885205229
278.0,1.0,0.6569165007007582
279.0,1.0,0.656924822410238
280.0,1.0,0.6569261773285089
281.0,1.0,0.656938729263383
282.0,1.0,0.6569360395627312
283.0,1.0,0.6569327255095415
284.0,1.0,0.6569484514893635
285.0,1.0,0.6569488537230689
286.0,1.0,0.6569445015908092
287.0,1.0,0.6569362036070512
288.0,1.0,0.6569313868114933
289.0,1.0,0.656917503187057
290.0,1.0,0.6569098427849243
291.0,1.0,0.656903276120378
292.0,1.0,0.6569016139487541
293.0,1.0,0.6568971273373848
294.0,1.0,0.6568990196353333
295.0,1.0,0.6568977537819555
296.0,1.0,0.6568965919246785
297.0,1.0,0.6569010209321163
298.0,1.0,0.6568981262067063
299.0,1.0,0.6568982090175202
300.0,1.0,0.6569012441761901
301.0,1.0,0.6568959686306517
302.0,1.0,0.6568919246826651
303.0,1.0,0.6568913435973407
304.0,1.0,0.6568917173898093
305.0,1.0,0.6568914848090196
306.0,1.0,0.6568865501170739
307.0,1.0,0.6568841304875657
308.0,1.0,0.6568852667973518
309.0,1.0,0.6568847649473127
310.0,1.0,0.6568810563720198
311.0,1.0,0.6568774410907158
312.0,1.0,0.656877388613955
313.0,1.0,0.6568773497377819
314.0,1.0,0.6568750994472499
315.0,1.0,0.6568734155557598
316.0,1.0,0.6568742810363096
317.0,1.0,0.6568741641855366
318.0,1.0,0.6568692316231051
319.0,1.0,0.6568684415888657
320.0,1.0,0.6568694661041741
321.0,1.0,0.656869117959735
322.0,1.0,0.656869451398367
323.0,1.0,0.6568722433124461
324.0,1.0,0.6568760156347784
325.0,1.0,0.6568772886443263
326.0,1.0,0.6568782891853092
327.0,1.0,0.6568759932444981
328.0,1.0,0.6568774488324999
329.0,1.0,0.6568774156551642
330.0,1.0,0.6568778006853159
331.0,1.0,0.6568802134994065
332.0,1.0,0.6568788612367534
333.0,1.0,0.6568809661153869
334.0,1.0,0.656881625531699
335.0,1.0,0.6568810665553318
336.0,1.0,0.6568816114670284
337.0,1.0,0.6568826834731384
338.0,1.0,0.6568813015671284
339.0,1.0,0.6568803189694491
340.0,1.0,0.6568814555262669
341.0,1.0,0.6568806067990165
342.0,1.0,0.6568806389209483
343.0,1.0,0.6568811871029561
344.0,1.0,0.6568799535225711
345.0,1.0,0.6568816596409153
346.0,1.0,0.6568808095463072
347.0,1.0,0.6568815099595474
348.0,1.0,0.6568815671241873
349.0,1.0,0.6568811721729818
350.0,1.0,0.6568817501529255
351.0,1.0,0.65688107425023
352.0,1.0,0.6568815179475088
353.0,1.0,0.6568816665306858
354.0,1.0,0.6568813860206061
355.0,1.0,0.656880227411549
356.0,1.0,0.6568797929603956
357.0,1.0,0.6568806215511213
358.0,1.0,0.6568803738384961
359.0,1.0,0.6568805830862193
360.0,1.0,0.6568792465798745
361.0,1.0,0.6568779758673031
362.0,1.0,0.6568778243622653
363.0,1.0,0.6568781371474217
364.0,1.0,0.6568772370378088
365.0,1.0,0.6568782849002969
366.0,1.0,0.6568796508059527
367.0,1.0,0.6568794196753923
368.0,1.0,0.6568804003812927
369.0,1.0,0.6568807709430681
370.0,1.0,0.6568812793687541
371.0,1.0,0.6568803472872655
372.0,1.0,0.6568813799058136
373.0,1.0,0.6568813089410124
374.0,1.0,0.6568817843448339
375.0,1.0,0.6568824965296718
376.0,1.0,0.6568823408816945
377.0,1.0,0.6568829711240871
378.0,1.0,0.6568825422137381
379.0,1.0,0.6568825857953567
380.0,1.0,0.6568820734399834
381.0,1.0,0.6568827272156376
382.0,1.0,0.6568824202415716
383.0,1.0,0.6568817941050086
384.0,1.0,0.6568820250931621
385.0,1.0,0.6568815448783724
386.0,1.0,0.65688155882861
387.0,1.0,0.6568815379333393
388.0,1.0,0.6568815334690032
389.0,1.0,0.6568819843759551
390.0,1.0,0.6568820664140823
391.0,1.0,0.6568822860980268
392.0,1.0,0.656882670854607
393.0,1.0,0.6568822530458251
394.0,1.0,0.6568828211540017
395.0,1.0,0.6568824053805922
396.0,1.0,0.6568823207746828
397.0,1.0,0.6568821504380642
398.0,1.0,0.656881457234973
399.0,1.0,0.6568815314016359
400.0,1.0,0.6568824843246639
401.0,1.0,0.6568830133842553
402.0,1.0,0.6568833205128012
403.0,1.0,0.6568834751057219
404.0,1.0,0.656883667784746
405.0,1.0,0.6568838050602891
406.0,1.0,0.6568841534486112
407.0,1.0,0.6568844046836009
408.0,1.0,0.6568847266285616
409.0,1.0,0.6568847034940022
410.0,1.0,0.6568844514435671
411.0,1.0,0.6568840881697307
412.0,1.0,0.6568841614018227
413.0,1.0,0.65688451506127
414.0,1.0,0.6568840196873157
415.0,1.0,0.6568840503694569
416.0,1.0,0.6568838118183847
417.0,1.0,0.6568836499000341
418.0,1.0,0.6568835601113805
419.0,1.0,0.6568834846851193
420.0,1.0,0.6568837417275852
421.0,1.0,0.6568837543364083
422.0,1.0,0.656883858240382
423.0,1.0,0.6568837368145893
424.0,1.0,0.6568837896914306
425.0,1.0,0.6568839400745229
426.0,1.0,0.6568841255835933
427.0,1.0,0.656884393443139
428.0,1.0,0.6568842598500922
429.0,1.0,0.656884046677638
430.0,1.0,0.656883996441613
431.0,1.0,0.6568840767112705
432.0,1.0,0.6568842935574226
433.0,1.0,0.6568840878177488
434.0,1.0,0.656884246997316
435.0,1.0,0.6568843814670124
436.0,1.0,0.6568842647922092
437.0,1.0,0.6568841551030768
438.0,1.0,0.6568840005322045
439.0,1.0,0.6568840530647734
440.0,1.0,0.6568839643753223
441.0,1.0,0.6568838709380277
442.0,1.0,0.6568836404956173
443.0,1.0,0.6568835367721769
444.0,1.0,0.6568833877467452
445.0,1.0,0.6568833772835896
446.0,1.0,0.6568833426976662
447.0,1.0,0.6568833645464419
448.0,1.0,0.6568831058288457
449.0,1.0,0.6568829565585501
450.0,1.0,0.6568830022699467
451.0,1.0,0.6568829744662674
452.0,1.0,0.6568828129221747
453.0,1.0,0.6568828584102753
454.0,1.0,0.6568829045158169
455.0,1.0,0.6568827755053832
456.0,1.0,0.6568828790352633
457.0,1.0,0.6568828834209912
458.0,1.0,0.6568829103260659
459.0,1.0,0.6568829648955026
460.0,1.0,0.6568830349779946
461.0,1.0,0.6568829925491971
462.0,1.0,0.6568828526034116
463.0,1.0,0.656882837902616
464.0,1.0,0.6568829064667823
465.0,1.0,0.6568828116881429
466.0,1.0,0.6568828603765503
467.0,1.0,0.6568828651812333
468.0,1.0,0.6568826636528011
469.0,1.0,0.6568826793372818
470.0,1.0,0.65688261073159
471.0,1.0,0.6568825758669113
472.0,1.0,0.6568825476740835
473.0,1.0,0.6568824881545434
474.0,1.0,0.6568825427287471
475.0,1.0,0.656882528219372
476.0,1.0,0.6568825661739992
477.0,1.0,0.6568825932859792
478.0,1.0,0.6568825918843815
479.0,1.0,0.6568825216077055
480.0,1.0,0.6568824897817637
481.0,1.0,0.6568825050372711
482.0,1.0,0.6568825135207886
483.0,1.0,0.6568824948472768
484.0,1.0,0.6568824699361603
485.0,1.0,0.6568825672944253
486.0,1.0,0.6568825220529992
487.0,1.0,0.6568825391972355
488.0,1.0,0.6568825471571351
489.0,1.0,0.6568825783916167
490.0,1.0,0.6568825549648835
491.0,1.0,0.6568825753266903
492.0,1.0,0.6568825315087474
493.0,1.0,0.6568824881892545
494.0,1.0,0.6568824712112643
495.0,1.0,0.6568824787125965
496.0,1.0,0.6568825030814034
497.0,1.0,0.6568825024854
498.0,1.0,0.656882561017143
499.0,1.0,0.6568825787209744
500.0,1.0,0.6568825389662379
