time,knowing,avg_belief,disp
1.0,0.01,1.0,0.9988442516967584
2.0,0.01,1.0,0.9988442516967584
3.0,0.01,1.0,0.9988442516967584
4.0,0.01,1.0,0.9988442516967584
5.0,0.01,1.0,0.9988442516967584
6.0,0.01,1.0,0.9988442516967584
7.0,0.01,1.0,0.9988442516967584
8.0,0.01,1.0,0.9988442516967584
9.0,0.01,1.0,0.9988442516967584
10.0,0.01,1.0,0.9988442516967584
11.0,0.01,1.0,0.9988442516967584
12.0,0.01,1.0,0.9988442516967584
13.0,0.01,1.0,0.9988442516967584
14.0,0.01,1.0,0.9988442516967584
15.0,0.01,1.0,0.9988442516967584
16.0,0.01,1.0,0.9988442516967584
17.0,0.01,1.0,0.9988442516967584
18.0,0.01,1.0,0.9988442516967584
19.0,0.01,1.0,0.9988442516967584
20.0,0.01,1.0,0.9988442516967584
21.0,0.01,1.0,0.9988442516967584
22.0,0.01,1.0,0.9988442516967584
23.0,0.01,1.0,0.9988442516967584
24.0,0.01,1.0,0.9988442516967584
25.0,0.01,1.0,0.9988442516967584
26.0,0.01,1.0,0.9988442516967584
27.0,0.01,1.0,0.9988442516967584
28.0,0.01,1.0,0.9988442516967584
29.0,0.01,1.0,0.9988442516967584
30.0,0.01,1.0,0.9988442516967584
31.0,0.01,1.0,0.9988442516967584
32.0,0.01,1.0,0.9988442516967584
33.0,0.01,1.0,0.9988442516967584
34.0,0.01,1.0,0.9988442516967584
35.0,0.01,1.0,0.9988442516967584
36.0,0.01,1.0,0.9988442516967584
37.0,0.01,1.0,0.9988442516967584
38.0,0.01,1.0,0.9988442516967584
39.0,0.01,1.0,0.9988442516967584
40.0,0.01,1.0,0.9988442516967584
41.0,0.01,1.0,0.9988442516967584
42.0,0.01,1.0,0.9988442516967584
43.0,0.01,1.0,0.9988442516967584
44.0,0.01,1.0,0.9988442516967584
45.0,0.01,1.0,0.9988442516967584
46.0,0.01,1.0,0.9988442516967584
47.0,0.01,1.0,0.9988442516967584
48.0,0.01,1.0,0.9988442516967584
49.0,0.01,1.0,0.9988442516967584
50.0,0.01,1.0,0.9988442516967584
51.0,0.01,1.0,0.9988442516967584
52.0,0.01,1.0,0.9988442516967584
53.0,0.01,1.0,0.9988442516967584
54.0,0.01,1.0,0.9988442516967584
55.0,0.01,1.0,0.9988442516967584
56.0,0.01,1.0,0.9988442516967584
57.0,0.01,1.0,0.9988442516967584
58.0,0.01,1.0,0.9988442516967584
59.0,0.01,1.0,0.9988442516967584
60.0,0.01,1.0,0.9988442516967584
61.0,0.01,1.0,0.9988442516967584
62.0,0.01,1.0,0.9988442516967584
63.0,0.01,1.0,0.9988442516967584
64.0,0.01,1.0,0.9988442516967584
65.0,0.01,1.0,0.9988442516967584
66.0,0.01,1.0,0.9988442516967584
67.0,0.01,1.0,0.9988442516967584
68.0,0.01,1.0,0.9988442516967584
69.0,0.01,1.0,0.9988442516967584
70.0,0.01,1.0,0.9988442516967584
71.0,0.01,1.0,0.9988442516967584
72.0,0.01,1.0,0.9988442516967584
